R SPEED ANGLE_SPEED ACCELERATION LENGTH BIGHT X Y Genetic_segmentation 
0.5147 0.1642 0 0.6052 0.196 0.06124 413.2 126.1 9 
0.5147 0.1642 0 0.6052 0.196 0.06124 413.2 126.1 9 
0.5147 0.1642 0 0.6052 0.196 0.06124 413.2 126.1 9 
0.5147 0.1769 0 0.6052 0.196 0.06124 413.2 126.1 9 
0.5085 0.2104 0 0.6052 0.1952 0.05662 412.9 127.6 9 
0.4999 0.2744 0 0.6052 0.1942 0.05247 412.6 129.6 9 
0.4892 0.3505 0 0.6117 0.1927 0.0492 412.3 132.2 9 
0.4765 0.4288 0 0.6261 0.1906 0.04837 411.9 135.3 9 
0.4622 0.4943 0 0.6501 0.1872 0.04984 411.5 138.8 9 
0.4458 0.5484 0 0.6706 0.1819 0.05343 411.1 142.7 9 
0.4286 0.5885 0 0.6842 0.1737 0.05921 410.9 147 9 
0.4101 0.6157 0 0.6867 0.1627 0.06666 410.9 151.5 9 
0.3917 0.6303 0 0.6848 0.1489 0.07571 411.2 156 9 
0.3733 0.633 0 0.6729 0.1328 0.08619 411.9 160.6 9 
0.3558 0.6249 0 0.6497 0.1151 0.09767 413 165.1 9 
0.3398 0.6071 0 0.6105 0.0973 0.1097 414.6 169.3 9 
0.3257 0.5809 0 0.5671 0.08123 0.1215 416.5 173.1 9 
0.3138 0.5477 0 0.525 0.06928 0.1327 418.7 176.6 9 
0.3042 0.5093 0.03729 0.4928 0.0634 0.1428 420.9 179.6 9 
0.2967 0.4677 0.1279 0.4686 0.06375 0.1513 423.1 182.1 9 
0.2912 0.4254 0.2925 0.4534 0.06867 0.1582 425.1 184.2 9 
0.2876 0.3852 0.4682 0.4457 0.07596 0.163 426.9 185.8 4 
0.2857 0.3503 0.6315 0.4447 0.08342 0.1656 428.7 187 4 
0.2856 0.3231 0.746 0.4493 0.09001 0.1663 430.4 187.7 4 
0.2874 0.3052 0.8284 0.4584 0.0951 0.1652 432 188 4 
0.2911 0.2968 0.8788 0.4713 0.09861 0.1628 433.7 187.8 4 
0.2965 0.2968 0.9089 0.4872 0.1005 0.1592 435.4 187.2 4 
0.3035 0.3032 0.9255 0.5059 0.1009 0.1547 437.1 186.2 4 
0.3117 0.3141 0.9354 0.527 0.09993 0.1494 438.6 184.7 4 
0.321 0.3277 0.9432 0.5501 0.09765 0.1435 439.9 182.8 4 
0.3309 0.3423 0.9506 0.5748 0.09457 0.1374 440.9 180.6 4 
0.341 0.3565 0.9559 0.6004 0.09124 0.1309 441.5 178.1 4 
0.3509 0.3692 0.9538 0.6259 0.08851 0.1242 441.8 175.5 4 
0.3604 0.3792 0.9401 0.6501 0.08728 0.117 441.5 172.8 4 
0.369 0.3858 0.9129 0.6721 0.08808 0.1094 440.8 170.2 4 
0.3766 0.3889 0.8736 0.6916 0.09106 0.1015 439.7 167.6 4 
0.3833 0.3887 0.826 0.7084 0.09607 0.09329 438.1 165.1 4 
0.3891 0.386 0.7753 0.7227 0.1026 0.08532 436.3 162.9 4 
0.3941 0.3818 0.727 0.7346 0.11 0.07751 434.4 160.9 4 
0.3982 0.3779 0.6841 0.7442 0.1177 0.06985 432.6 159.1 4 
0.4019 0.3759 0.6469 0.7513 0.125 0.0626 430.8 157.7 4 
0.4044 0.3774 0.6147 0.7557 0.1316 0.0559 429.1 156.4 4 
0.4064 0.3839 0.5861 0.7574 0.1374 0.04984 427.5 155.4 4 
0.4081 0.3961 0.5606 0.7565 0.1423 0.0447 425.7 154.6 4 
0.4085 0.4142 0.5372 0.7532 0.1466 0.04051 423.7 154 4 
0.4085 0.4375 0.5158 0.7479 0.1502 0.03701 421.4 153.5 4 
0.4081 0.4648 0.4962 0.7409 0.1534 0.03422 418.8 153.1 4 
0.4073 0.4946 0.4786 0.7327 0.1557 0.03198 415.9 152.8 4 
0.4056 0.525 0.4623 0.7234 0.1571 0.03004 412.6 152.7 4 
0.4044 0.5542 0.4471 0.7134 0.1574 0.02855 409 152.7 4 
0.4023 0.5803 0.4332 0.703 0.1567 0.02744 405.3 152.9 9 
0.3999 0.6018 0.4213 0.6924 0.1555 0.0268 401.4 153.4 9 
0.3974 0.6172 0.4121 0.6819 0.1545 0.02676 397.3 154.1 9 
0.3937 0.6257 0.4051 0.6718 0.1545 0.02738 393.2 155.1 9 
0.3896 0.627 0.4003 0.6622 0.1556 0.02844 389.1 156.5 9 
0.3848 0.6215 0.3973 0.6533 0.158 0.02986 385 158.2 9 
0.3795 0.6099 0.3963 0.6449 0.1617 0.03126 381.1 160.2 9 
0.3741 0.5937 0.3967 0.637 0.1664 0.03238 377.3 162.4 9 
0.369 0.5745 0.3983 0.6295 0.1718 0.03338 373.9 164.6 9 
0.3645 0.5543 0.4007 0.6223 0.1775 0.03418 370.9 166.7 9 
0.3605 0.5353 0.4032 0.6155 0.1829 0.03505 368.2 168.6 4 
0.3569 0.5196 0.4061 0.6091 0.1876 0.03633 366 170.4 4 
0.3534 0.5089 0.4096 0.6033 0.1911 0.0378 363.9 172.2 4 
0.3495 0.5047 0.4141 0.5983 0.1931 0.03956 362.1 174 4 
0.3448 0.5072 0.4189 0.5943 0.1937 0.04155 360.4 176.1 4 
0.3392 0.5159 0.4241 0.5913 0.1932 0.04342 358.8 178.4 4 
0.3325 0.5295 0.4294 0.5895 0.192 0.0453 357.3 181.1 4 
0.3247 0.5464 0.435 0.5888 0.1907 0.04669 355.9 184.2 4 
