Time	Event
0	:
0	act9
8	act0
26	act4
32	act3
42	act8
72	act0
77	act8
114	act0
119	act6
132	act9
143	act0
154	act4
166	act5
181	act8
216	act6
229	act9
236	act7
240	act0
252	act8
320	act3
336	act8
363	act3
371	act8
401	act4
414	act8
418	act3
449	act5
468	act3
480	act8
549	act4
557	act6
613	act0
630	act8
646	act3
649	act8
656	act4
661	act6
676	act9
693	act0
711	act8
820	act0
824	act6
835	act9
847	act0
858	act8
888	act4
896	act6
901	act9
915	act0
929	act8
1019	act4
1047	act8
1137	act4
1146	act9
1152	act0
1157	act8
1226	act0
1231	act8
1238	act4
1250	act6
1266	act8
1291	act0
1321	act4
1340	act3
1343	act8
1368	act5
1381	act3
1394	act5
1411	act3
1424	act8
1443	act4
1447	act5
1459	act3
1464	act8
1480	act3
1487	act5
1496	act3
1504	act5
1507	act3
1519	act8
1575	act3
1578	act6
1584	act3
1603	act8
1635	act4
1651	act6
1663	act0
1686	act8
1728	act0
1731	act8
1742	act0
1747	act4
1754	act9
1769	act0
1792	act4
1807	act6
1818	act9
1829	act6
1834	act0
1864	act8
1886	act6
1905	act9
1922	act0
1941	act8
2007	act6
2037	act0
2073	act4
2092	act0
2104	act7
2132	act8
2143	act7
2148	act9
2160	act7
2171	act0
2176	act8
2188	act7
2195	act8
2203	act7
2280	act6
2283	act9
2311	act7
2324	act8
2340	act7
2349	act0
2356	act9
2375	act0
2395	act8
2405	act7
2439	act4
2447	act0
2452	act6
2468	act9
2489	act0
2509	act4
2520	act8
2524	act4
2535	act9
2540	act6
2545	act9
2558	act0
2580	act7
2612	act9
2645	act0
2648	act6
2651	act9
2655	act7
2981 	&
