Time	Event
0	:
1	act6
2	act3
8	act2
14	act1
35	act3
41	act8
51	act5
69	act8
82	act3
87	act2
98	act3
105	act8
130	act2
155	act3
169	act8
175	act5
197	act4
207	act8
220	act2
241	act8
249	act4
293	act8
299	act3
304	act2
310	act3
323	act2
324	act3
338	act4
347	act5
413	act4
455	act8
466	act3
470	act2
484	act1
533	act3
539	act8
594	act3
598	act6
601	act4
634	act8
643	act2
655	act1
683	act2
691	act8
699	act4
717	act8
728	act2
737	act1
848	act3
860	act8
891	act3
897	act2
904	act1
979	act2
991	act8
999	act4
1010	act5
1027	act4
1035	act8
1060	act6
1074	act8
1120	act6
1135	act8
1145	act4
1255	act8
1269	act2
1286	act3
1295	act2
1302	act3
1308	act8
1316	act5
1377	act4
1409	act8
1422	act2
1442	act1
1476	act2
1477	act1
1495	act3
1505	act8
1513	act5
1562	act4
1572	act5
1605	act4
1649	act8
1692	act4
1711	act8
1744	act4
1780	act5
1815	act4
1868	act8
1891	act6
1908	act2
1926	act3
1931	act6
1957	act4
1973	act6
1988	act2
2008	act1
2076	act2
2094	act8
2099	act4
2139	act8
2163	act3
2171	act2
2181	act3
2186	act8
2197	act5
2260	act4
2273	act5
2297	act4
2303	act8
2314	act6
2323	act7
2349	act2
2356	act3
2360	act8
2374	act5
2478	act4
2490	act6
2505	act7
