Time	Event
0	:
0	non_grooming
66	abdomen_licking
97	fast_nose_washing
136	head_and_ears_washing
147	abdomen_licking
184	head_and_ears_washing
204	cheeks_sacks_washing
223	abdomen_licking
313	head_and_ears_washing
343	non_grooming
399	cheeks_sacks_washing
426	head_and_ears_washing
432	forelimb_licking
527	fast_nose_washing
539	head_and_ears_washing
578	forelimb_licking
628	flank_licking
683	abdomen_licking
972	cheeks_sacks_washing
1015	forelimb_licking
1139	fast_nose_washing
1158	head_and_ears_washing
1202	flank_licking
1480	abdomen_licking
1577	cheeks_sacks_washing
1614	forelimb_licking
2270	non_grooming
2537	nose_eyes_washing
2558	forelimb_licking
2763	nose_eyes_washing
2780	cheeks_sacks_washing
2801	hand_licking
2814	forelimb_licking
2914	head_and_ears_washing
2935	hand_licking
2950	abdomen_licking
3096	hand_licking
3127	head_and_ears_washing
3180	forelimb_licking
3427	abdomen_licking
4000	forelimb_licking
4624	abdomen_licking
4796	cheeks_sacks_washing
4938	forelimb_licking
5057	cheeks_sacks_washing
5170	forelimb_licking
5208	head_and_ears_washing
5238	forelimb_licking
5324	head_and_ears_washing
5357	forelimb_licking
5424	head_and_ears_washing
5460	cheeks_sacks_washing
5475	forelimb_licking
5635	non_grooming
5655	head_and_ears_washing
5687	cheeks_sacks_washing
5787	forelimb_licking
6041	nose_eyes_washing
6080	forelimb_licking
6170	cheeks_sacks_washing
6225	head_and_ears_washing
6255	hand_licking
6273	fast_nose_washing
6302	head_and_ears_washing
6346	forelimb_licking
6470	flank_licking
6579	abdomen_licking
7331	non_grooming
7356	abdomen_licking
7778	forelimb_licking
8179	fast_nose_washing
8193	head_and_ears_washing
8217	flank_licking
8321	abdomen_licking
8464	genitals_licking
8508	non_grooming
8684	abdomen_licking
8849	cheeks_sacks_washing
8890	forelimb_licking
8959	nose_eyes_washing
8978	forelimb_licking
9081	nose_eyes_washing
9108	cheeks_sacks_washing
9232	forelimb_licking
9346	non_grooming
9358	head_and_ears_washing
9395	forelimb_licking
9475	head_and_ears_washing
9533	forelimb_licking
9605	non_grooming
9765	abdomen_licking
9786	non_grooming
10144	genitals_licking
10154	hindlimb_biting
10165	non_grooming
10218	genitals_licking
10262	non_grooming
10284	hindlimb_biting
10322	non_grooming
10323	&
