Time	Event
0	:
0	non_grooming
715	body_sniffing
741	non_grooming
767	nose_washing
780	non_grooming
824	nose_washing
847	fast_nose_washing
888	flank_licking
902	nose_washing
915	non_grooming
1028	nose_washing
1044	non_grooming
1752	nose_washing
1785	fast_nose_washing
1814	head_and_ears_washing
1827	forelimb_licking
1888	nose_washing
1900	forelimb_licking
1932	non_grooming
2651	scratching_by_hindlimb
2670	non_grooming
2889	nose_washing
2959	fast_nose_washing
2981	head_and_ears_washing
2996	hindlimb_licking
3030	non_grooming
3047	hindlimb_licking
3065	non_grooming
3108	hindlimb_licking
3175	non_grooming
3203	nose_washing
3209	forelimb_licking
3236	non_grooming
3315	scratching_by_hindlimb
3330	non_grooming
3569	nose_washing
3577	forelimb_licking
3606	non_grooming
3882	scratching_by_hindlimb
3900	non_grooming
4028	scratching_by_hindlimb
4047	hindlimb_licking
4081	non_grooming
4666	nose_washing
4794	fast_nose_washing
4817	head_and_ears_washing
4831	forelimb_licking
4872	non_grooming
4900	forelimb_licking
4925	non_grooming
4993	hindlimb_licking
5049	non_grooming
5504	nose_eyes_washing
5512	non_grooming
5678	nose_washing
5701	non_grooming
6649	hindlimb_licking
6713	non_grooming
7545	forelimb_licking
7576	non_grooming
7647	nose_washing
7753	fast_nose_washing
7777	head_and_ears_washing
7784	nose_washing
7790	hindlimb_licking
7833	non_grooming
7840	nose_washing
7846	hindlimb_licking
7873	non_grooming
7972	hindlimb_licking
7992	non_grooming
8120	nose_washing
8128	forelimb_licking
8187	non_grooming
8512	scratching_by_hindlimb
8545	non_grooming
8975	scratching_by_hindlimb
8985	non_grooming
9301	scratching_by_hindlimb
9332	non_grooming
9550	nose_washing
9573	non_grooming
10122	nose_washing
10140	forelimb_licking
10295	nose_washing
10362	fast_nose_washing
10383	head_and_ears_washing
10406	hindlimb_licking
10462	non_grooming
10480	hindlimb_licking
10607	non_grooming
10706	genitals_licking
10772	non_grooming
10862	scratching_by_hindlimb
10909	non_grooming
10924	hindlimb_licking
10980	non_grooming
11259	nose_washing
11267	forelimb_licking
11334	non_grooming
11363	nose_washing
11393	forelimb_licking
11422	non_grooming
11497	nose_washing
11514	hindlimb_licking
11552	non_grooming
11763	nose_washing
11819	fast_nose_washing
11839	head_and_ears_washing
11869	forelimb_licking
11878	abdomen_licking
11957	non_grooming
11985	nose_washing
12007	abdomen_licking
12031	non_grooming
12140	scratching_by_hindlimb
12166	hindlimb_licking
12210	non_grooming
12457	hindlimb_licking
12525	non_grooming
12653	scratching_by_hindlimb
12670	non_grooming
12673	scratching_by_hindlimb
12681	non_grooming
12824	scratching_by_hindlimb
12866	non_grooming
12898	scratching_by_hindlimb
12979	non_grooming
13123	abdomen_licking
13135	non_grooming
13685	scratching_by_hindlimb
13740	hindlimb_licking
13768	non_grooming
13798	scratching_by_hindlimb
13886	hindlimb_licking
13974	non_grooming
14189	scratching_by_hindlimb
14225	hindlimb_licking
14240	scratching_by_hindlimb
14276	hindlimb_licking
14498	scratching_by_hindlimb
14576	non_grooming
14882	scratching_by_hindlimb
14932	hindlimb_licking
14941	non_grooming
14970	forelimb_licking
15084	abdomen_licking
15092	hand_licking
15103	forelimb_licking
15135	flank_licking
15162	non_grooming
15304	forelimb_licking
15322	abdomen_licking
15347	non_grooming
15519	hand_licking
15538	non_grooming
15551	forelimb_licking
15661	non_grooming
15719	nose_washing
15746	fast_nose_washing
15773	head_and_ears_washing
15798	hindlimb_licking
15861	non_grooming
15873	nose_washing
15881	abdomen_licking
15948	non_grooming
16109	nose_washing
16118	hand_licking
16126	hindlimb_licking
16177	non_grooming
17073	scratching_by_hindlimb
17147	non_grooming
17414	scratching_by_hindlimb
17463	hindlimb_licking
17490	non_grooming
17755	hand_licking
17765	forelimb_licking
17817	nose_washing
17880	fast_nose_washing
17902	head_and_ears_washing
17928	hindlimb_licking
18017	non_grooming
18095	forelimb_licking
18154	non_grooming
18179	nose_eyes_washing
18189	abdomen_licking
18207	non_grooming
18256	nose_washing
18266	hindlimb_licking
18312	non_grooming
18576	hindlimb_licking
18613	non_grooming
18883	hindlimb_licking
18928	non_grooming
19163	scratching_by_hindlimb
19183	non_grooming
19237	scratching_by_hindlimb
19282	non_grooming
19304	scratching_by_hindlimb
19336	hindlimb_licking
19345	scratching_by_hindlimb
19361	non_grooming
19419	body_rubbing
19447	non_grooming
19499	scratching_by_hindlimb
19580	hindlimb_licking
19600	non_grooming
19868	scratching_by_hindlimb
19907	hindlimb_licking
19921	scratching_by_hindlimb
19945	hindlimb_biting
19970	hindlimb_licking
20011	non_grooming
20123	scratching_by_hindlimb
20147	non_grooming
20157	scratching_by_hindlimb
20178	non_grooming
20397	scratching_by_hindlimb
20427	hindlimb_licking
20439	non_grooming
20440	&
