Time	Event
0	:
0	non_grooming
123	hand_licking
171	forelimb_licking
187	hand_licking
194	forelimb_licking
218	nose_washing
239	non_grooming
253	nose_washing
290	fast_nose_washing
316	forelimb_licking
376	nose_eyes_washing
392	nose_washing
423	non_grooming
464	forelimb_licking
482	non_grooming
696	hand_licking
715	nose_washing
720	forelimb_licking
747	chin_washing
754	non_grooming
824	hand_licking
887	cheeks_sacks_washing
897	forelimb_licking
911	non_grooming
940	body_rubbing
987	non_grooming
1871	abdomen_licking
1921	non_grooming
2241	abdomen_licking
2273	hand_licking
2310	abdomen_licking
2329	nose_washing
2359	fast_nose_washing
2373	head_and_ears_washing
2384	forelimb_licking
2408	genitals_licking
2502	hand_licking
2509	nose_eyes_washing
2522	forelimb_licking
2573	head_and_ears_washing
2580	nose_washing
2589	abdomen_licking
2628	flank_licking
2724	non_grooming
2766	chin_washing
2827	nose_eyes_washing
2834	hand_licking
2839	hindlimb_licking
2889	nose_washing
2928	fast_nose_washing
2955	head_and_ears_washing
2975	hindlimb_licking
3394	non_grooming
3432	chin_washing
3456	vibrissae_washing
3506	hand_licking
3523	forelimb_licking
3593	vibrissae_washing
3618	non_grooming
3651	body_sniffing
3698	non_grooming
3723	head_and_ears_washing
3733	non_grooming
3747	scratching_by_hindlimb
3779	hindlimb_licking
3793	scratching_by_hindlimb
3847	non_grooming
3874	hindlimb_licking
3890	non_grooming
3902	body_sniffing
3906	forelimb_licking
3950	nose_washing
3997	abdomen_licking
4010	nose_washing
4072	cheeks_sacks_washing
4078	forelimb_licking
4129	fast_nose_washing
4157	head_and_ears_washing
4167	forelimb_licking
4204	hindlimb_licking
4397	genitals_licking
4616	non_grooming
4656	scratching_by_hindlimb
4694	hand_licking
4734	forelimb_licking
4773	abdomen_licking
4803	hindlimb_licking
4897	genitals_licking
4970	scratching_by_hindlimb
5014	non_grooming
5036	abdomen_licking
5102	genitals_licking
5119	hindlimb_licking
5278	hand_licking
5309	cheeks_sacks_washing
5319	hand_licking
5333	cheeks_sacks_washing
5343	hand_licking
5379	fast_nose_washing
5401	head_and_ears_washing
5421	flank_licking
5461	hindlimb_licking
5576	scratching_by_hindlimb
5656	non_grooming
5723	fast_nose_washing
5746	head_and_ears_washing
5751	forelimb_licking
5768	abdomen_licking
5805	non_grooming
5826	head_and_ears_washing
5832	nose_eyes_washing
5840	forelimb_licking
5893	non_grooming
5913	forelimb_licking
5951	abdomen_licking
5968	non_grooming
5988	hindlimb_licking
6021	nose_washing
