Time	Event
0	:
0	non_grooming
126	hand_licking
244	non_grooming
294	nose_washing
420	fast_nose_washing
445	head_and_ears_washing
465	non_grooming
505	nose_washing
521	non_grooming
555	nose_washing
581	forelimb_licking
609	non_grooming
662	nose_eyes_washing
681	non_grooming
718	nose_washing
722	forelimb_licking
741	non_grooming
1953	forelimb_biting
1990	hand_biting
2010	genitals_licking
2061	non_grooming
2073	hand_licking
2205	forelimb_licking
2292	non_grooming
2322	abdomen_licking
2387	genitals_licking
2429	non_grooming
2445	forelimb_licking
2485	hand_licking
2613	genitals_licking
2691	non_grooming
2845	hand_licking
3143	chin_washing
3223	fast_nose_washing
3241	head_and_ears_washing
3249	abdomen_licking
3447	genitals_licking
3474	non_grooming
3513	abdomen_licking
3569	genitals_licking
3619	nose_washing
3652	abdomen_licking
3718	forelimb_licking
3760	abdomen_licking
3828	nose_washing
3851	hand_licking
3863	cheeks_sacks_washing
3907	hand_licking
3936	cheeks_sacks_washing
3956	nose_washing
3998	fast_nose_washing
4020	head_and_ears_washing
4035	hand_licking
4040	forelimb_licking
4154	nose_washing
4173	cheeks_sacks_washing
4200	forelimb_licking
4228	forelimb_biting
4249	hindlimb_licking
4312	non_grooming
4354	body_sniffing
4360	non_grooming
4419	hindlimb_licking
4508	non_grooming
4839	hindlimb_licking
4990	non_grooming
5085	hand_licking
5102	hindlimb_licking
5187	non_grooming
5256	hindlimb_licking
5582	flank_licking
5644	hindlimb_licking
5711	non_grooming
5727	hand_licking
5736	forelimb_licking
5808	flank_licking
5844	hindlimb_licking
5908	non_grooming
5921	flank_licking
5965	hindlimb_licking
6075	hand_licking
6129	nose_washing
6161	fast_nose_washing
6174	head_and_ears_washing
6187	abdomen_licking
6230	nose_washing
6241	flank_licking
6298	hindlimb_licking
6333	nose_washing
6341	cheeks_sacks_washing
6385	hand_licking
6390	cheeks_sacks_washing
6410	hand_licking
6414	cheeks_sacks_washing
6435	hand_licking
6439	cheeks_sacks_washing
6454	hand_licking
6469	cheeks_sacks_washing
6505	hand_licking
6517	forelimb_licking
6550	nose_washing
6558	nose_eyes_washing
6603	forelimb_licking
6617	non_grooming
6631	nose_washing
6650	non_grooming
6681	flank_licking
6739	non_grooming
6756	flank_licking
6778	hindlimb_licking
6817	non_grooming
6849	back_licking
6902	flank_licking
6909	hindlimb_licking
7092	nose_washing
7110	hand_licking
7169	genitals_licking
7204	non_grooming
7222	hand_licking
7244	forelimb_licking
7279	hindlimb_licking
7299	non_grooming
