Time	Event
0	:
0	non_grooming
88	body_shaking
100	non_grooming
139	body_shaking
146	non_grooming
157	scratching_by_hindlimb
179	cheeks_sacks_washing
206	hand_licking
216	genitals_licking
281	forelimb_licking
346	cheeks_sacks_washing
398	forelimb_licking
467	fast_nose_washing
487	hindlimb_licking
689	non_grooming
694	cheeks_sacks_washing
769	forelimb_licking
1335	cheeks_sacks_washing
1412	hand_licking
1541	cheeks_sacks_washing
1622	hand_licking
1633	hand_biting
1684	cheeks_sacks_washing
1691	hand_licking
1752	cheeks_sacks_washing
1786	forelimb_licking
2056	cheeks_sacks_washing
2142	hand_licking
2151	nose_washing
2164	hand_licking
2223	fast_nose_washing
2243	nose_eyes_washing
2261	genitals_licking
2333	hindlimb_licking
2471	genitals_licking
2520	abdomen_licking
2546	abdomen_biting
2562	abdomen_licking
2719	hindlimb_licking
3020	body_sniffing
3065	forelimb_licking
3101	cheeks_sacks_washing
3113	forelimb_licking
3132	forelimb_biting
3150	non_grooming
3273	cheeks_sacks_washing
3282	hand_licking
3288	non_grooming
3443	nose_washing
3470	forelimb_licking
3566	cheeks_sacks_washing
3619	forelimb_licking
3680	cheeks_sacks_washing
3773	forelimb_licking
4222	cheeks_sacks_washing
4387	forelimb_licking
4772	cheeks_sacks_washing
4889	hand_licking
5005	cheeks_sacks_washing
5040	nose_washing
5058	fast_nose_washing
5083	head_and_ears_washing
5105	forelimb_licking
5187	hindlimb_licking
5925	non_grooming
5968	hindlimb_licking
6289	chin_washing
6301	nose_eyes_washing
6333	fast_nose_washing
6361	hindlimb_licking
6854	cheeks_sacks_washing
6951	forelimb_licking
7175	cheeks_sacks_washing
7235	hand_licking
7244	cheeks_sacks_washing
7297	forelimb_licking
8093	chin_washing
8147	forelimb_licking
8272	non_grooming
8470	cheeks_sacks_washing
8520	nose_washing
8553	hand_licking
8567	hand_biting
8594	fast_nose_washing
8629	nose_eyes_washing
8652	hand_licking
8673	nose_eyes_washing
8684	hand_licking
8692	cheeks_sacks_washing
8757	hand_biting
8774	forelimb_licking
8941	fast_nose_washing
8969	cheeks_sacks_washing
8995	forelimb_licking
9317	abdomen_licking
9350	hindlimb_licking
10137	non_grooming
10232	hindlimb_licking
10476	fast_nose_washing
10502	hindlimb_licking
10945	nose_eyes_washing
10964	hindlimb_licking
11056	nose_eyes_washing
11069	hindlimb_licking
11251	abdomen_licking
11286	cheeks_sacks_washing
11344	forelimb_licking
11395	cheeks_sacks_washing
11449	forelimb_licking
11760	fast_nose_washing
11796	cheeks_sacks_washing
11822	flank_licking
11961	hindlimb_licking
12726	genitals_licking
13018	hand_licking
13053	non_grooming
13097	hindlimb_licking
13242	non_grooming
13284	hindlimb_licking
13333	nose_washing
13345	hindlimb_licking
13391	fast_nose_washing
13417	genitals_licking
13498	hand_licking
13516	genitals_licking
13568	hand_licking
13582	nose_washing
13599	hand_licking
13609	forelimb_licking
13651	nose_eyes_washing
13674	hindlimb_licking
13825	abdomen_licking
14166	non_grooming
14411	genitals_licking
14451	hindlimb_licking
14485	non_grooming
14606	nose_washing
14649	cheeks_sacks_washing
14708	forelimb_licking
14740	cheeks_sacks_washing
14782	hand_licking
14787	cheeks_sacks_washing
14834	forelimb_licking
14973	hand_licking
14980	non_grooming
15009	forelimb_licking
15118	cheeks_sacks_washing
15155	nose_washing
15166	non_grooming
15252	nose_eyes_washing
15260	hand_biting
15268	head_and_ears_washing
15280	hand_licking
15284	head_and_ears_washing
15299	non_grooming
15311	forelimb_licking
15370	fast_nose_washing
15394	head_and_ears_washing
15418	flank_licking
15492	hindlimb_licking
15534	flank_licking
15618	hindlimb_licking
15700	non_grooming
15756	hindlimb_licking
16438	non_grooming
16516	genitals_licking
16663	hindlimb_licking
16961	fast_nose_washing
16978	hindlimb_licking
17478	non_grooming
17514	abdomen_licking
17539	nose_eyes_washing
17549	forelimb_licking
17586	cheeks_sacks_washing
17597	non_grooming
17664	nose_washing
17679	hand_licking
17694	cheeks_sacks_washing
17723	hand_licking
17835	cheeks_sacks_washing
17921	forelimb_licking
18106	non_grooming
18202	body_sniffing
18229	cheeks_sacks_washing
18298	non_grooming
18401	nose_washing
18411	abdomen_licking
18475	non_grooming
19351	nose_washing
19397	non_grooming
19398	&
