Time	Event
0	:
0	Вылизывание_задних_конечностей
155	Вычесывание_задними_конечностями
170	Вылизывание_задних_конечностей
317	Вылизывание_брюха
414	Вылизывание_ладоней
430	Умывание_носа
433	Вылизывание_ладоней
437	Быстрое_умывание_носа
444	Умывание_головы_с_ушами
452	Вылизывание_задних_конечностей
463	Вылизывание_хвоста
481	Вылизывание_задних_конечностей
526	Умывание_носа
531	Вылизывание_задних_конечностей
694	Вылизывание_гениталий
720	Вылизывание_задних_конечностей
788	Не_груминг
801	Вычесывание_задними_конечностями
808	Вылизывание_задних_конечностей
812	Вычесывание_задними_конечностями
819	Вылизывание_задних_конечностей
823	Вычесывание_задними_конечностями
829	Вылизывание_задних_конечностей
833	Вычесывание_задними_конечностями
848	Вылизывание_задних_конечностей
888	Вычесывание_задними_конечностями
907	Вылизывание_ладоней
913	Быстрое_умывание_носа
920	Умывание_головы_с_ушами
925	Вылизывание_задних_конечностей
1026	Вылизывание_ладоней
1031	Выкусывание_передних_конечностей
1037	Вылизывание_брюха
1098	Выкусывание_передних_конечностей
1150	Вылизывание_боков
1167	Вылизывание_задних_конечностей
1191	Не_груминг
1198	Вылизывание_ладоней
1203	Вылизывание_боков
1227	Вылизывание_задних_конечностей
1240	Встряхивание_телом
1245	Вылизывание_ладоней
1252	Быстрое_умывание_носа
1260	Умывание_головы_с_ушами
1265	Вылизывание_задних_конечностей
1294	Умывание_носа
1300	Вылизывание_ладоней
1307	Вылизывание_задних_конечностей
1328	Вылизывание_брюха
1340	Умывание_носа
1345	Выкусывание_передних_конечностей
1353	Вылизывание_брюха
1362	Выкусывание_передних_конечностей
1372	Вычесывание_задними_конечностями
1379	Вылизывание_задних_конечностей
1381	Вычесывание_задними_конечностями
1388	Вылизывание_задних_конечностей
1390	Вычесывание_задними_конечностями
1409	Вылизывание_задних_конечностей
1411	Вычесывание_задними_конечностями
1429	Вылизывание_задних_конечностей
1430	Вычесывание_задними_конечностями
1434	Вылизывание_задних_конечностей
1438	Вычесывание_задними_конечностями
1443	Вылизывание_задних_конечностей
1445	Вычесывание_задними_конечностями
1449	Умывание_носа
1457	Вылизывание_ладоней
1463	Выкусывание_передних_конечностей
1504	Вылизывание_брюха
1548	Вылизывание_задних_конечностей
1553	Вычесывание_задними_конечностями
1559	Вылизывание_задних_конечностей
1562	Вычесывание_задними_конечностями
1566	Вылизывание_задних_конечностей
1569	Вычесывание_задними_конечностями
1580	Вылизывание_задних_конечностей
1586	Вычесывание_задними_конечностями
1592	Вылизывание_задних_конечностей
1597	Вычесывание_задними_конечностями
1611	Вылизывание_задних_конечностей
1615	Вычесывание_задними_конечностями
1644	Не_груминг
1807	Вычесывание_задними_конечностями
1818	Не_груминг
1915	Вычесывание_задними_конечностями
1935	Вылизывание_задних_конечностей
1937	Вычесывание_задними_конечностями
1950	Вылизывание_задних_конечностей
2000	Вычесывание_задними_конечностями
2017	Вылизывание_задних_конечностей
2020	Вычесывание_задними_конечностями
2026	Вылизывание_задних_конечностей
2028	Вычесывание_задними_конечностями
2060	Вылизывание_задних_конечностей
2062	Вычесывание_задними_конечностями
2075	Вылизывание_задних_конечностей
