Time	Event
0	:
0	Не_груминг
260	Встряхивание_телом
266	Быстрое_умывание_носа
276	Вычесывание_задними_конечностями
286	Быстрое_умывание_носа
296	Умывание_головы_с_ушами
305	Вылизывание_брюха
310	Быстрое_умывание_носа
327	Вылизывание_гениталий
344	Быстрое_умывание_носа
386	Выкусывание_боков
450	Не_груминг
463	Вычесывание_задними_конечностями
492	Не_груминг
537	Выкусывание_передних_конечностей
552	Вылизывание_брюха
610	Быстрое_умывание_носа
637	Умывание_головы_с_ушами
644	Выкусывание_боков
650	Выкусывание_задних_лап
669	Вылизывание_брюха
689	Выкусывание_боков
714	Не_груминг
1517	Вылизывание_задних_конечностей
1549	Не_груминг
1564	Выкусывание_передних_конечностей
1599	Не_груминг
1722	Выкусывание_ладоней
1750	Не_груминг
1810	Быстрое_умывание_носа
1820	Не_груминг
1832	Быстрое_умывание_носа
1895	Выкусывание_боков
2108	Не_груминг
2130	Вычесывание_задними_конечностями
2195	Вылизывание_спины
2220	Выкусывание_боков
2281	Быстрое_умывание_носа
2303	Вылизывание_брюха
2335	Быстрое_умывание_носа
2345	Вылизывание_брюха
2389	Быстрое_умывание_носа
2404	Умывание_головы_с_ушами
2406	Выкусывание_боков
2444	Вылизывание_брюха
2491	Выкусывание_боков
2733	Вылизывание_брюха
2780	Не_груминг
2792	Вычесывание_задними_конечностями
2876	Выкусывание_боков
2888	Вычесывание_задними_конечностями
3058	Выкусывание_передних_конечностей
3077	Вылизывание_брюха
3104	Выкусывание_боков
3114	Быстрое_умывание_носа
3124	Умывание_головы_с_ушами
3135	Выкусывание_боков
3165	Выкусывание_передних_конечностей
3178	Вылизывание_спины
3215	Вылизывание_брюха
3235	Выкусывание_боков
3248	Вылизывание_спины
3297	Быстрое_умывание_носа
3307	Вылизывание_спины
3324	Вылизывание_брюха
3404	Выкусывание_боков
3425	Вычесывание_задними_конечностями
3543	Не_груминг
3583	Быстрое_умывание_носа
3642	Не_груминг
3718	Вычесывание_задними_конечностями
3730	Вылизывание_гениталий
3753	Не_груминг
3868	Быстрое_умывание_носа
4033	Умывание_головы_с_ушами
4040	Вылизывание_задних_конечностей
4069	Выкусывание_боков
4127	Выкусывание_передних_конечностей
4150	Выкусывание_боков
4184	Умывание_головы_с_ушами
4200	Вылизывание_спины
4231	Умывание_подбородка
4240	Вылизывание_задних_конечностей
4272	Вычесывание_задними_конечностями
4456	Не_груминг
4724	Выкусывание_передних_конечностей
4798	Вычесывание_задними_конечностями
4858	Не_груминг
4962	Вычесывание_задними_конечностями
5102	Не_груминг
5253	Вычесывание_задними_конечностями
5269	Не_груминг
5639	Вылизывание_гениталий
5661	Вылизывание_задних_конечностей
5675	Не_груминг
5708	Выкусывание_передних_конечностей
5733	Не_груминг
5917	Вылизывание_гениталий
5928	Не_груминг
6005	Вылизывание_задних_конечностей
6028	Вычесывание_задними_конечностями
6121	Выкусывание_боков
6142	Не_груминг
6433	Выкусывание_боков
6454	Не_груминг
6481	Вылизывание_задних_конечностей
6527	Вычесывание_задними_конечностями
6555	Не_груминг
6570	Вычесывание_задними_конечностями
6593	Не_груминг
6629	Вылизывание_задних_конечностей
6641	Вылизывание_гениталий
6677	Выкусывание_боков
6706	Вылизывание_хвоста
6720	Вычесывание_задними_конечностями
6809	Не_груминг
7055	Вылизывание_гениталий
7076	Не_груминг
7093	Вылизывание_гениталий
7144	Умывание_носа
7166	Не_груминг
7177	Умывание_носа
7190	Не_груминг
7221	Вылизывание_задних_конечностей
7273	Быстрое_умывание_носа
7289	Умывание_нос-глаза
7294	Вылизывание_задних_конечностей
7298	Вылизывание_брюха
7329	Выкусывание_передних_конечностей
7439	Быстрое_умывание_носа
7449	Умывание_головы_с_ушами
7454	Выкусывание_передних_конечностей
7462	Вылизывание_хвоста
7514	Вычесывание_задними_конечностями
7701	Не_груминг
7732	Выкусывание_передних_конечностей
7762	Не_груминг
7795	Вычесывание_задними_конечностями
8012	Вылизывание_ладоней
8051	Не_груминг
8086	Вылизывание_задних_конечностей
8147	Не_груминг
8200	Вылизывание_задних_конечностей
8224	Не_груминг
8270	Выкусывание_боков
8287	Вылизывание_хвоста
8301	Не_груминг
8302	&
