Time	Event
0	:
0	Body_turn
15	Run
37	Quiet
51	Run
68	Body_turn
75	Run
111	Rear_support
131	Run
152	Rear_support
173	Run
182	Rear_support
196	Run
213	Rear_support
232	Run
246	Sniff
255	Run
273	Rear_support
313	Run
327	Sniff
334	Turn_around
354	Groom
409	Body_turn
425	Quiet
461	Head_turn
473	Quiet
489	Body_turn
503	Quiet
882	Sniff
1013	Quiet
1316	Head_turn
1323	Quiet
1363	Head_turn
1373	Quiet
1382	Sniff
1425	Groom
1695	Sniff
1705	Quiet
1743	Head_turn
1754	Quiet
1795	Head_turn
1809	Quiet
2239	Sniff
2275	Quiet
2562	Sniff
2621	Quiet
2890	Head_turn
2895	Quiet
2944	Head_turn
2968	Quiet
2988	Sniff
3044	Turn_around
3064	Sniff
3082	Quiet
3159	Sniff
3180	Turn_around
3205	Sniff
3290	Run
3314	Sniff
3319	Body_turn
3331	Sniff
3345	Turn_around
3365	Run
3372	Sniff
3379	Run
3395	Head_turn
3402	Run
3420	Sniff
3432	Quiet
3477	Body_turn
3503	Quiet
3824	Sniff
3890	Run
3936	Sniff
3950	Body_turn
3968	Quiet
4038	Sniff
4061	Quiet
4170	Sniff
4199	Body_turn
4206	Sniff
4240	Quiet
4351	Groom
4637	Sniff
4768	Turn_around
4802	Sniff
4825	Run
4897	Body_turn
4940	Run
4995	Sniff
5016	Run
5035	Sniff
5039	Run
5100	Sniff
5109	Rear_support
5121	Turn_around
5159	Head_turn
5165	Quiet
5229	Head_turn
5237	Quiet
5259	Head_turn
5278	Body_turn
5309	Run
5335	Sniff
5374	Run
5404	Rear_support
5421	Run
5458	Sniff
5466	Run
5541	Head_turn
5544	Run
5583	Sniff
5604	Run
5640	Body_turn
5644	Run
5686	Sniff
5697	Run
5745	Sniff
5750	Run
5779	Rear
5816	Run
5865	Quiet
5887	Head_turn
5892	Quiet
5921	Sniff
5973	Run
5985	Sniff
5987	Run
6045	Sniff
6048	Run
6109	Rear_support
6120	Run
6140	Sniff
6143	Run
6205	Sniff
6215	Rear_support
6240	Run
6250	Sniff
6253	Run
6272	Sniff
6279	Turn_around
6298	Sniff
6326	Run
6355	Rear
6394	Body_turn
6412	Run
6444	Body_turn
6454	Run
6467	Sniff
6492	Run
6512	Sniff
6518	Run
6586	Body_turn
6600	Quiet
6741	Sniff
6764	Quiet
6897	Head_turn
6903	Quiet
6954	Head_turn
6959	Quiet
7017	Groom
7058	Quiet
7356	Groom
7529	Sniff
7597	Body_turn
7615	Quiet
8220	Sniff
8257	Quiet
8615	Sniff
8678	Quiet
9346	Sniff
9381	Quiet
9413	Head_turn
9417	Quiet
9473	Sniff
9489	Quiet
9814	Head_turn
9819	Quiet
10090	Head_turn
10097	Quiet
10138	Head_turn
10143	Quiet
10207	Head_turn
10213	Quiet
10257	Turn_around
10272	Sniff
10347	Body_turn
10354	Sniff
10443	Head_turn
10449	Quiet
10491	Head_turn
10497	Quiet
10799	Groom
10858	Quiet
11062	Head_turn
11066	Quiet
11104	Sniff
11121	Quiet
11432	Groom
11632	Quiet
11688	Body_turn
11695	Quiet
11750	Body_turn
11769	Sniff
11816	Body_turn
11826	Sniff
11862	Run
11875	Sniff
11897	Run
11912	Sniff
11940	Body_turn
11953	Quiet
12045	Quiet
12093	Body_turn
12104	Quiet
12120	Sniff
12158	Quiet
12530	Head_turn
12540	Quiet
13118	Groom
13149	Quiet
14262	Sniff
14309	Quiet
15395	Body_turn
15405	Sniff
15409	Run
15417	Body_turn
15423	Sniff
15480	Quiet
15500	Sniff
15537	Quiet
15631	Sniff
15636	Quiet
15920	Sniff
15943	Body_turn
15963	Quiet
15992	Sniff
16021	Body_turn
16027	Turn_around
16039	Sniff
16065	Quiet
16110	Sniff
16124	Quiet
16168	Sniff
16190	Quiet
16378	Sniff
16407	Quiet
16446	Head_turn
16453	Quiet
16633	Sniff
16660	Quiet
16723	Sniff
16761	Quiet
16823	Head_turn
16835	Run
16845	Sniff
16880	Quiet
17107	Sniff
17141	Quiet
17142	&
