Time	Event
0	:
0	Run
38	Sniff
43	Run
68	Head_turn
73	Run
140	Body_turn
159	Groom
2091	Run
2103	Body_turn
2109	Run
2175	Turn_around
2192	Run
2227	Turn_around
2234	Run
2240	Sniff
2249	Run
2272	Quiet
2295	Run
2324	Body_turn
2335	Run
2360	Turn_around
2376	Run
2406	Rear
2424	Run
2451	Turn_around
2457	Run
2466	Body_turn
2470	Run
2495	Turn_around
2502	Rear_support
2547	Run
2586	Sniff
2626	Turn_around
2643	Run
2686	Rear_support
2714	Run
2799	Sniff
2819	Run
2846	Sniff
2866	Run
2874	Sniff
2878	Body_turn
2881	Run
2891	Turn_around
2923	Run
2937	Body_turn
2951	Rear_support
2999	Run
3052	Rear_support
3097	Run
3124	Sniff
3146	Run
3243	Sniff
3255	Run
3270	Body_turn
3276	Run
3316	Body_turn
3321	Run
3357	Head_turn
3367	Run
3429	Rear_support
3456	Run
3469	Rear_support
3499	Run
3529	Sniff
3540	Climb
3603	Run
3689	Sniff
3720	Rear_support
3757	Run
3772	Dig
3802	Run
3867	Turn_around
3889	Run
3903	Sniff
3931	Turn_around
3944	Run
3965	Body_turn
3986	Jump
4004	Run
4012	Rear_support
4043	Jump
4057	Run
4063	Rear_support
4079	Jump
4091	Turn_around
4101	Jump
4120	Rear_support
4140	Jump
4155	Body_turn
4163	Jump
4179	Run
4193	Jump
4209	Turn_around
4228	Run
4252	Rear_support
4279	Jump
4293	Turn_around
4304	Jump
4321	Body_turn
4329	Jump
4345	Run
4375	Rear_support
4445	Jump
4459	Body_turn
4466	Jump
4483	Run
4496	Head_turn
4519	Run
4547	Rear_support
4581	Jump
4596	Run
4634	Sniff
4671	Run
4699	Rear
4732	Run
4793	Body_turn
4824	Run
4853	Head_turn
4857	Run
4874	Rear_support
4897	Body_turn
4903	Run
4909	Turn_around
4920	Run
4934	Sniff
4993	Run
5015	Body_turn
5029	Run
5054	Body_turn
5068	Run
5096	Turn_around
5113	Run
5128	Turn_around
5176	Jump
5188	Run
5195	Rear_support
5203	Jump
5218	Run
5223	Jump
5241	Run
5245	Jump
5251	Climb
5310	Jump
5321	Body_turn
5330	Quiet
5370	Head_turn
5390	Run
5404	Jump
5419	Body_turn
5426	Jump
5442	Run
5453	Rear
5484	Body_turn
5496	Run
5521	Sniff
5534	Run
5549	Turn_around
5568	Head_turn
5581	Body_turn
5593	Run
5626	Body_turn
5640	Run
5691	Body_turn
5706	Run
5716	Sniff
5762	Run
5777	Body_turn
5790	Run
5821	Sniff
5840	Run
5863	Sniff
5866	Run
5871	Head_turn
5874	Run
5886	Body_turn
5908	Groom
6205	Run
6273	Sniff
6278	Run
6290	Sniff
6299	Run
6319	Body_turn
6333	Sniff
6352	Body_turn
6361	Run
6385	Sniff
6418	Run
6428	Head_turn
6432	Turn_around
6445	Run
6459	Head_turn
6463	Run
6475	Head_turn
6480	Run
6487	Turn_around
6505	Run
6512	Body_turn
6525	Run
6539	Body_turn
6558	Jump
6573	Run
6589	Rear_support
6607	Jump
6621	Rear
6626	Jump
6642	Turn_around
6664	Jump
6682	Jump
6703	Body_turn
6726	Jump
6740	Body_turn
6750	Jump
6767	Body_turn
6775	Jump
6794	Body_turn
6805	Rear
6841	Quiet
6878	Jump
6894	Run
6946	Rear_support
6989	Run
